Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
71,SEA-82,161.725000,-,4.600000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
72,SEA-82A,157.125000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
73,SEA-83,161.775000,-,4.600000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
74,SEA-83A,157.175000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
75,SEA-84,161.825000,-,4.600000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
76,SEA-84A,157.225000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
77,SEA-85,161.875000,-,4.600000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
78,SEA-85A,157.275000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
79,SEA-86,161.925000,-,4.600000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
80,SEA-86A,157.325000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
81,SEA-87,161.975000,-,4.600000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
82,SEA-87A,157.375000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
83,SEA-88,162.025000,-,4.600000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
84,SEA-88A,157.425000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
